50, 0.0811111, 0.938907, 0.0610932, 0.418196
50, 0.0816667, 0.98, 0.02, 0.458155
50, 0.0797222, 0.989655, 0.0103448, 0.402333
50, 0.0788889, 0.949833, 0.0501672, 0.697144
50, 0.0833333, 0.96463, 0.0353698, 0.431412
100, 0.145278, 0.925664, 0.0743363, 0.40607
100, 0.149167, 0.911715, 0.0882852, 0.47076
100, 0.164167, 0.917702, 0.0822981, 0.421386
100, 0.149167, 0.94709, 0.0529101, 0.43244
100, 0.146944, 0.934629, 0.065371, 0.38552
150, 0.219444, 0.874862, 0.125138, 0.443432
150, 0.228611, 0.896514, 0.103486, 0.408673
150, 0.214722, 0.881414, 0.118586, 0.441796
150, 0.219722, 0.902968, 0.097032, 0.422884
150, 0.220833, 0.89527, 0.10473, 0.467955
200, 0.284444, 0.830495, 0.169505, 0.468821
200, 0.279167, 0.825123, 0.174877, 0.48307
200, 0.292222, 0.858776, 0.141224, 0.403821
200, 0.285833, 0.861809, 0.138191, 0.402212
200, 0.261111, 0.83779, 0.16221, 0.50244
250, 0.343333, 0.821809, 0.178191, 0.417723
250, 0.3525, 0.828329, 0.171671, 0.415226
250, 0.327778, 0.812113, 0.187887, 0.458042
250, 0.338056, 0.820634, 0.179366, 0.474289
250, 0.333333, 0.774693, 0.225307, 0.47918
300, 0.404444, 0.816601, 0.183399, 0.401254
300, 0.399444, 0.800223, 0.199777, 65.8237
300, 0.401111, 0.78778, 0.21222, 65.6221
300, 0.394722, 0.835391, 0.164609, 0.359494
300, 0.401111, 0.801332, 0.198668, 0.423115
350, 0.446389, 0.785435, 0.214565, 0.413876
350, 0.436111, 0.749403, 0.250597, 0.439874
350, 0.450833, 0.789397, 0.210603, 0.406757
350, 0.436667, 0.744671, 0.255329, 60.4193
350, 0.456389, 0.788388, 0.211612, 0.402806
400, 0.4775, 0.714464, 0.285536, 0.466614
400, 0.498611, 0.756745, 0.243255, 51.7079
400, 0.472222, 0.738488, 0.261512, 0.437574
400, 0.512778, 0.748277, 0.251723, 0.418108
400, 0.500556, 0.750833, 0.249167, 0.423893
450, 0.547778, 0.728213, 0.271787, 47.9891
450, 0.523611, 0.710249, 0.289751, 0.441274
450, 0.513611, 0.708701, 0.291299, 0.455359
450, 0.533889, 0.722828, 0.277172, 0.395838
450, 0.529167, 0.69857, 0.30143, 0.426802
500, 0.578056, 0.695289, 0.304711, 0.399343
500, 0.543333, 0.669634, 0.330366, 0.447496
500, 0.572778, 0.689402, 0.310598, 0.439908
500, 0.548611, 0.676602, 0.323398, 0.464121
500, 0.547778, 0.662189, 0.337811, 0.46417
550, 0.598333, 0.691049, 0.308951, 43.3231
550, 0.604722, 0.671499, 0.328501, 0.419782
550, 0.609722, 0.691339, 0.308661, 42.9067
550, 0.595556, 0.646367, 0.353633, 0.434574
550, 0.6, 0.677966, 0.322034, 0.470339
600, 0.64, 0.661879, 0.338121, 0.424756
600, 0.623333, 0.629277, 0.370723, 0.459522
600, 0.655833, 0.668649, 0.331351, 0.396864
600, 0.643333, 0.655534, 0.344466, 40.864
600, 0.631944, 0.641387, 0.358613, 0.442011
650, 0.670833, 0.616858, 0.383142, 38.5444
650, 0.661389, 0.617479, 0.382521, 117.294
650, 0.661667, 0.612339, 0.387661, 0.445964
650, 0.675278, 0.609885, 0.390115, 0.43416
650, 0.645278, 0.601502, 0.398498, 0.460773
700, 0.718056, 0.62606, 0.37394, 70.8841
700, 0.701944, 0.616341, 0.383659, 0.432993
700, 0.718333, 0.625091, 0.374909, 35.8308
700, 0.723611, 0.614242, 0.385758, 35.9609
700, 0.692222, 0.587182, 0.412818, 36.8234
750, 0.723611, 0.592719, 0.407281, 36.1086
750, 0.7275, 0.595633, 0.404367, 0.405546
750, 0.736111, 0.573345, 0.426655, 0.432521
750, 0.745, 0.595339, 0.404661, 0.412801
750, 0.760833, 0.626343, 0.373657, 0.391719
800, 0.790278, 0.594691, 0.405309, 33.3602
800, 0.761389, 0.573311, 0.426689, 67.3454
800, 0.761944, 0.579548, 0.420452, 0.416016
800, 0.758333, 0.575949, 0.424051, 268.656
800, 0.735556, 0.548695, 0.451305, 70.8899
